State,Year,Fuel_Consumption (Million Liters),Income (Crore INR),Fuel_Price (INR per Liter),Population,Vehicle_Type
Andhra Pradesh,1966,74.57,199338.89,2.9,82699536,Two-Wheeler
Andhra Pradesh,1966,75.21,116615.01,2.9,45954722,Four-Wheeler
Andhra Pradesh,1966,91.69,136707.72,2.9,17147550,Heavy Vehicle
Andhra Pradesh,1967,21.04,199746.3,3.05,78961789,Two-Wheeler
Andhra Pradesh,1967,46.91,162993.7,3.05,90692650,Four-Wheeler
Andhra Pradesh,1967,91.43,4039.39,3.05,18188835,Heavy Vehicle
Andhra Pradesh,1968,10.1,17896.04,3.2,1425991,Two-Wheeler
Andhra Pradesh,1968,84.38,127038.85,3.2,31593534,Four-Wheeler
Andhra Pradesh,1968,68.26,4352.8,3.2,59845429,Heavy Vehicle
Andhra Pradesh,1969,23.63,172436.39,3.35,36721902,Two-Wheeler
Andhra Pradesh,1969,3.66,106615.47,3.35,36782995,Four-Wheeler
Andhra Pradesh,1969,1.99,4817.69,3.35,11088683,Heavy Vehicle
Andhra Pradesh,1970,78.85,50012.15,3.5,9540826,Two-Wheeler
Andhra Pradesh,1970,26.11,22352.09,3.5,96497786,Four-Wheeler
Andhra Pradesh,1970,96.21,155685.72,3.5,82884229,Heavy Vehicle
Andhra Pradesh,1971,29.03,199095.97,3.75,3329979,Two-Wheeler
Andhra Pradesh,1971,46.64,17046.07,3.75,76257486,Four-Wheeler
Andhra Pradesh,1971,98.91,135846.93,3.75,34050589,Heavy Vehicle
Andhra Pradesh,1972,11.99,152551.04,4.0,1504428,Two-Wheeler
Andhra Pradesh,1972,55.33,147052.98,4.0,92204569,Four-Wheeler
Andhra Pradesh,1972,51.02,47767.9,4.0,49700140,Heavy Vehicle
Andhra Pradesh,1973,28.81,131115.7,4.25,88468966,Two-Wheeler
Andhra Pradesh,1973,30.18,198132.63,4.25,27954124,Four-Wheeler
Andhra Pradesh,1973,94.78,131218.73,4.25,21500553,Heavy Vehicle
Andhra Pradesh,1974,91.69,161177.84,4.5,31551386,Two-Wheeler
Andhra Pradesh,1974,0.44,108204.56,4.5,70951734,Four-Wheeler
Andhra Pradesh,1974,54.19,150606.01,4.5,63123364,Heavy Vehicle
Andhra Pradesh,1975,49.96,22665.87,4.75,60780770,Two-Wheeler
Andhra Pradesh,1975,34.15,96151.79,4.75,69127411,Four-Wheeler
Andhra Pradesh,1975,30.33,47144.38,4.75,27112856,Heavy Vehicle
Andhra Pradesh,1976,49.84,132458.73,5.0,60505341,Two-Wheeler
Andhra Pradesh,1976,28.14,114779.19,5.0,96542440,Four-Wheeler
Andhra Pradesh,1976,41.97,114275.15,5.0,16783449,Heavy Vehicle
Andhra Pradesh,1977,88.46,31491.01,5.25,32109330,Two-Wheeler
Andhra Pradesh,1977,34.85,174353.13,5.25,3431596,Four-Wheeler
Andhra Pradesh,1977,77.32,144080.28,5.25,89658605,Heavy Vehicle
Andhra Pradesh,1978,11.52,86716.65,5.5,8635876,Two-Wheeler
Andhra Pradesh,1978,20.99,76804.89,5.5,2448510,Four-Wheeler
Andhra Pradesh,1978,64.28,103200.33,5.5,33557060,Heavy Vehicle
Andhra Pradesh,1979,33.35,133088.76,5.75,48389552,Two-Wheeler
Andhra Pradesh,1979,29.34,107607.42,5.75,22982737,Four-Wheeler
Andhra Pradesh,1979,89.88,12561.06,5.75,3894082,Heavy Vehicle
Andhra Pradesh,1980,65.58,87870.58,6.0,99560709,Two-Wheeler
Andhra Pradesh,1980,29.16,31029.36,6.0,65057862,Four-Wheeler
Andhra Pradesh,1980,52.84,177388.26,6.0,2228859,Heavy Vehicle
Andhra Pradesh,1981,89.74,126627.37,6.2,41114901,Two-Wheeler
Andhra Pradesh,1981,87.88,96818.64,6.2,30065538,Four-Wheeler
Andhra Pradesh,1981,56.79,42037.59,6.2,2880754,Heavy Vehicle
Andhra Pradesh,1982,34.93,105643.97,6.4,25178868,Two-Wheeler
Andhra Pradesh,1982,59.02,78704.68,6.4,68996751,Four-Wheeler
Andhra Pradesh,1982,31.58,193216.05,6.4,68854883,Heavy Vehicle
Andhra Pradesh,1983,83.1,72166.12,6.6,26229000,Two-Wheeler
Andhra Pradesh,1983,28.59,41388.12,6.6,98625155,Four-Wheeler
Andhra Pradesh,1983,57.41,165884.93,6.6,81551799,Heavy Vehicle
Andhra Pradesh,1984,78.66,78734.97,6.8,46031198,Two-Wheeler
Andhra Pradesh,1984,92.52,48200.26,6.8,84634049,Four-Wheeler
Andhra Pradesh,1984,90.49,189885.2,6.8,49979770,Heavy Vehicle
Andhra Pradesh,1985,60.63,136163.56,7.0,93285784,Two-Wheeler
Andhra Pradesh,1985,55.08,49888.88,7.0,48387127,Four-Wheeler
Andhra Pradesh,1985,60.91,179140.54,7.0,80619843,Heavy Vehicle
Andhra Pradesh,1986,8.35,108791.72,7.2,78495278,Two-Wheeler
Andhra Pradesh,1986,69.81,14947.35,7.2,41232243,Four-Wheeler
Andhra Pradesh,1986,68.68,34305.46,7.2,78212904,Heavy Vehicle
Andhra Pradesh,1987,62.91,58942.76,7.4,64933984,Two-Wheeler
Andhra Pradesh,1987,72.29,39320.78,7.4,8789839,Four-Wheeler
Andhra Pradesh,1987,28.07,199604.65,7.4,83737322,Heavy Vehicle
Andhra Pradesh,1988,32.7,80131.98,7.6,30356712,Two-Wheeler
Andhra Pradesh,1988,8.63,188292.11,7.6,75476878,Four-Wheeler
Andhra Pradesh,1988,52.06,10528.5,7.6,51496049,Heavy Vehicle
Andhra Pradesh,1989,7.23,157899.08,7.8,74975743,Two-Wheeler
Andhra Pradesh,1989,96.46,44173.93,7.8,7149783,Four-Wheeler
Andhra Pradesh,1989,48.58,141001.66,7.8,90425249,Heavy Vehicle
Andhra Pradesh,1990,2.14,199799.33,8.0,24100529,Two-Wheeler
Andhra Pradesh,1990,36.67,80231.65,8.0,43627217,Four-Wheeler
Andhra Pradesh,1990,10.35,60534.64,8.0,59661370,Heavy Vehicle
Andhra Pradesh,1991,50.77,19655.95,9.4,40305882,Two-Wheeler
Andhra Pradesh,1991,45.75,115200.28,9.4,33942199,Four-Wheeler
Andhra Pradesh,1991,19.34,125389.3,9.4,51349381,Heavy Vehicle
Andhra Pradesh,1992,63.52,180188.7,10.8,21109983,Two-Wheeler
Andhra Pradesh,1992,35.91,32147.59,10.8,59074887,Four-Wheeler
Andhra Pradesh,1992,57.84,26619.79,10.8,47826752,Heavy Vehicle
Andhra Pradesh,1993,99.18,29646.24,12.2,48437995,Two-Wheeler
Andhra Pradesh,1993,78.18,152184.15,12.2,94897132,Four-Wheeler
Andhra Pradesh,1993,40.45,165417.78,12.2,3414713,Heavy Vehicle
Andhra Pradesh,1994,24.03,108615.48,13.6,87398808,Two-Wheeler
Andhra Pradesh,1994,58.7,98985.74,13.6,89831155,Four-Wheeler
Andhra Pradesh,1994,52.5,137655.77,13.6,2197102,Heavy Vehicle
Andhra Pradesh,1995,23.88,182523.33,15.0,98350602,Two-Wheeler
Andhra Pradesh,1995,8.38,67566.02,15.0,60749779,Four-Wheeler
Andhra Pradesh,1995,91.67,137850.43,15.0,36518753,Heavy Vehicle
Andhra Pradesh,1996,16.97,45179.69,16.4,81111256,Two-Wheeler
Andhra Pradesh,1996,92.07,80168.47,16.4,10160988,Four-Wheeler
Andhra Pradesh,1996,26.83,133735.49,16.4,45653085,Heavy Vehicle
Andhra Pradesh,1997,81.36,196607.74,17.8,81054320,Two-Wheeler
Andhra Pradesh,1997,72.59,126385.38,17.8,61273923,Four-Wheeler
Andhra Pradesh,1997,1.8,87830.32,17.8,8766627,Heavy Vehicle
Andhra Pradesh,1998,42.29,170754.05,19.2,54182520,Two-Wheeler
Andhra Pradesh,1998,77.61,44718.29,19.2,98847293,Four-Wheeler
Andhra Pradesh,1998,43.26,120954.25,19.2,91455798,Heavy Vehicle
Andhra Pradesh,1999,35.13,143685.43,20.6,33982841,Two-Wheeler
Andhra Pradesh,1999,8.28,62703.11,20.6,91160341,Four-Wheeler
Andhra Pradesh,1999,59.17,157486.58,20.6,13187027,Heavy Vehicle
Andhra Pradesh,2000,71.75,50533.76,22.0,72719934,Two-Wheeler
Andhra Pradesh,2000,80.82,96910.34,22.0,83799176,Four-Wheeler
Andhra Pradesh,2000,53.7,135720.8,22.0,82232728,Heavy Vehicle
Andhra Pradesh,2001,14.49,75471.32,24.8,36143194,Two-Wheeler
Andhra Pradesh,2001,55.94,198315.39,24.8,59414313,Four-Wheeler
Andhra Pradesh,2001,98.19,162403.47,24.8,4269613,Heavy Vehicle
Andhra Pradesh,2002,97.44,179570.86,27.6,52877667,Two-Wheeler
Andhra Pradesh,2002,95.33,190201.48,27.6,61854569,Four-Wheeler
Andhra Pradesh,2002,89.06,137532.21,27.6,90545365,Heavy Vehicle
Andhra Pradesh,2003,99.9,146807.37,30.4,85883977,Two-Wheeler
Andhra Pradesh,2003,18.07,43792.66,30.4,73285244,Four-Wheeler
Andhra Pradesh,2003,8.8,10666.9,30.4,19569862,Heavy Vehicle
Andhra Pradesh,2004,38.27,190138.72,33.2,16632591,Two-Wheeler
Andhra Pradesh,2004,82.88,38894.74,33.2,99483758,Four-Wheeler
Andhra Pradesh,2004,75.29,151956.24,33.2,52224387,Heavy Vehicle
Andhra Pradesh,2005,28.42,89810.26,36.0,50701311,Two-Wheeler
Andhra Pradesh,2005,95.94,62380.06,36.0,48262500,Four-Wheeler
Andhra Pradesh,2005,93.66,105299.53,36.0,56572162,Heavy Vehicle
Andhra Pradesh,2006,82.3,60401.18,38.8,91179065,Two-Wheeler
Andhra Pradesh,2006,13.72,54757.73,38.8,50211574,Four-Wheeler
Andhra Pradesh,2006,68.56,172575.21,38.8,13320922,Heavy Vehicle
Andhra Pradesh,2007,21.15,60259.31,41.6,18141858,Two-Wheeler
Andhra Pradesh,2007,87.15,137502.01,41.6,67380968,Four-Wheeler
Andhra Pradesh,2007,82.29,94969.83,41.6,11532971,Heavy Vehicle
Andhra Pradesh,2008,68.82,131952.71,44.4,34884656,Two-Wheeler
Andhra Pradesh,2008,73.81,82293.75,44.4,89489646,Four-Wheeler
Andhra Pradesh,2008,50.43,73213.36,44.4,61756491,Heavy Vehicle
Andhra Pradesh,2009,35.32,53440.65,47.2,61623695,Two-Wheeler
Andhra Pradesh,2009,22.39,13943.01,47.2,37346567,Four-Wheeler
Andhra Pradesh,2009,91.01,145706.7,47.2,50777962,Heavy Vehicle
Andhra Pradesh,2010,97.67,148737.65,50.0,27441062,Two-Wheeler
Andhra Pradesh,2010,28.08,77765.46,50.0,26050163,Four-Wheeler
Andhra Pradesh,2010,13.41,129093.74,50.0,6859499,Heavy Vehicle
Andhra Pradesh,2011,64.19,71392.47,52.0,28625810,Two-Wheeler
Andhra Pradesh,2011,8.79,4056.26,52.0,44006957,Four-Wheeler
Andhra Pradesh,2011,34.08,18324.76,52.0,55433530,Heavy Vehicle
Andhra Pradesh,2012,81.78,111729.51,54.0,3890984,Two-Wheeler
Andhra Pradesh,2012,85.79,162079.48,54.0,52902945,Four-Wheeler
Andhra Pradesh,2012,97.92,108986.73,54.0,54390402,Heavy Vehicle
Andhra Pradesh,2013,46.44,74351.88,56.0,63172512,Two-Wheeler
Andhra Pradesh,2013,42.87,189546.38,56.0,34816174,Four-Wheeler
Andhra Pradesh,2013,98.4,116493.21,56.0,65783889,Heavy Vehicle
Andhra Pradesh,2014,72.4,53587.33,58.0,74101955,Two-Wheeler
Andhra Pradesh,2014,27.64,194422.42,58.0,84793674,Four-Wheeler
Andhra Pradesh,2014,14.51,33459.71,58.0,5596892,Heavy Vehicle
Andhra Pradesh,2015,40.55,94299.36,60.0,65694948,Two-Wheeler
Andhra Pradesh,2015,45.01,158837.08,60.0,92286410,Four-Wheeler
Andhra Pradesh,2015,69.87,117401.12,60.0,42555100,Heavy Vehicle
Andhra Pradesh,2016,37.82,18279.99,62.0,15348035,Two-Wheeler
Andhra Pradesh,2016,32.82,170176.69,62.0,16037813,Four-Wheeler
Andhra Pradesh,2016,95.41,6290.85,62.0,21042371,Heavy Vehicle
Andhra Pradesh,2017,23.63,156485.71,64.0,67572869,Two-Wheeler
Andhra Pradesh,2017,25.55,25916.54,64.0,65514699,Four-Wheeler
Andhra Pradesh,2017,65.34,150328.34,64.0,85621516,Heavy Vehicle
Andhra Pradesh,2018,42.08,31413.76,66.0,25705116,Two-Wheeler
Andhra Pradesh,2018,22.04,66917.5,66.0,47587084,Four-Wheeler
Andhra Pradesh,2018,63.61,35243.86,66.0,30353928,Heavy Vehicle
Andhra Pradesh,2019,81.16,119569.1,68.0,81271020,Two-Wheeler
Andhra Pradesh,2019,46.68,198341.79,68.0,41852368,Four-Wheeler
Andhra Pradesh,2019,5.31,68157.58,68.0,46365382,Heavy Vehicle
Andhra Pradesh,2020,17.0,73624.39,70.0,2022737,Two-Wheeler
Andhra Pradesh,2020,88.57,136916.85,70.0,31178674,Four-Wheeler
Andhra Pradesh,2020,25.03,110461.42,70.0,77481733,Heavy Vehicle
Andhra Pradesh,2021,36.81,111605.95,73.0,21574966,Two-Wheeler
Andhra Pradesh,2021,33.27,67204.72,73.0,12730448,Four-Wheeler
Andhra Pradesh,2021,63.49,192521.56,73.0,79461416,Heavy Vehicle
Andhra Pradesh,2022,31.48,22908.58,76.0,5543308,Two-Wheeler
Andhra Pradesh,2022,32.4,54670.52,76.0,44550653,Four-Wheeler
Andhra Pradesh,2022,63.37,108516.3,76.0,53391178,Heavy Vehicle
Andhra Pradesh,2023,62.68,107846.48,79.0,69645803,Two-Wheeler
Andhra Pradesh,2023,20.38,89142.08,79.0,4537808,Four-Wheeler
Andhra Pradesh,2023,19.46,39345.63,79.0,19132089,Heavy Vehicle
Andhra Pradesh,2024,1.46,162889.3,82.0,78158372,Two-Wheeler
Andhra Pradesh,2024,74.58,147708.35,82.0,28769461,Four-Wheeler
Andhra Pradesh,2024,44.16,180867.43,82.0,95735651,Heavy Vehicle
Andhra Pradesh,2025,94.94,78460.47,85.0,72993217,Two-Wheeler
Andhra Pradesh,2025,43.17,14529.31,85.0,93560334,Four-Wheeler
Andhra Pradesh,2025,66.55,99576.11,85.0,20422232,Heavy Vehicle
Andhra Pradesh,2026,33.85,54928.36,88.0,94236927,Two-Wheeler
Andhra Pradesh,2026,45.17,7996.86,88.0,66384463,Four-Wheeler
Andhra Pradesh,2026,45.6,34294.26,88.0,48316282,Heavy Vehicle
Andhra Pradesh,2027,70.5,155874.15,91.0,43259863,Two-Wheeler
Andhra Pradesh,2027,80.62,131068.69,91.0,51392215,Four-Wheeler
Andhra Pradesh,2027,60.81,195374.63,91.0,94432100,Heavy Vehicle
Andhra Pradesh,2028,58.96,117288.39,94.0,75071432,Two-Wheeler
Andhra Pradesh,2028,58.82,71152.05,94.0,41831973,Four-Wheeler
Andhra Pradesh,2028,18.4,52160.26,94.0,96336027,Heavy Vehicle
Andhra Pradesh,2029,96.02,1134.03,97.0,8416967,Two-Wheeler
Andhra Pradesh,2029,8.67,93223.47,97.0,17163162,Four-Wheeler
Andhra Pradesh,2029,4.77,160963.14,97.0,57307472,Heavy Vehicle
Andhra Pradesh,2030,3.77,58294.62,100.0,74342617,Two-Wheeler
Andhra Pradesh,2030,83.39,160413.05,100.0,74354107,Four-Wheeler
Andhra Pradesh,2030,67.54,159358.34,100.0,80481484,Heavy Vehicle
Andhra Pradesh,2031,80.88,1701.67,102.0,14294879,Two-Wheeler
Andhra Pradesh,2031,49.41,44479.3,102.0,17323746,Four-Wheeler
Andhra Pradesh,2031,86.57,126718.72,102.0,26516605,Heavy Vehicle
Andhra Pradesh,2032,79.42,92738.38,104.0,48512901,Two-Wheeler
Andhra Pradesh,2032,29.73,152872.75,104.0,13032326,Four-Wheeler
Andhra Pradesh,2032,69.61,109020.29,104.0,22062017,Heavy Vehicle
Andhra Pradesh,2033,37.85,171054.69,106.0,7713932,Two-Wheeler
Andhra Pradesh,2033,87.3,35675.4,106.0,65844124,Four-Wheeler
Andhra Pradesh,2033,39.19,143670.43,106.0,96066046,Heavy Vehicle
Andhra Pradesh,2034,32.98,179503.34,108.0,40933332,Two-Wheeler
Andhra Pradesh,2034,8.58,40528.09,108.0,74264367,Four-Wheeler
Andhra Pradesh,2034,62.67,15181.88,108.0,91533380,Heavy Vehicle
Andhra Pradesh,2035,45.63,45201.81,110.0,30473712,Two-Wheeler
Andhra Pradesh,2035,11.45,183315.97,110.0,77652946,Four-Wheeler
Andhra Pradesh,2035,18.74,97796.8,110.0,56607015,Heavy Vehicle
Andhra Pradesh,2036,19.59,154717.74,112.0,61429129,Two-Wheeler
Andhra Pradesh,2036,92.06,157616.09,112.0,84074071,Four-Wheeler
Andhra Pradesh,2036,35.21,85516.53,112.0,37942312,Heavy Vehicle
Andhra Pradesh,2037,32.02,157310.41,114.0,11145405,Two-Wheeler
Andhra Pradesh,2037,69.5,177473.17,114.0,61470056,Four-Wheeler
Andhra Pradesh,2037,34.55,177505.98,114.0,10288466,Heavy Vehicle
Andhra Pradesh,2038,38.23,131696.84,116.0,29077938,Two-Wheeler
Andhra Pradesh,2038,29.02,186479.17,116.0,12294388,Four-Wheeler
Andhra Pradesh,2038,96.02,108788.92,116.0,23146018,Heavy Vehicle
Andhra Pradesh,2039,45.46,95293.93,118.0,7537405,Two-Wheeler
Andhra Pradesh,2039,50.64,3643.48,118.0,23012263,Four-Wheeler
Andhra Pradesh,2039,50.54,182674.24,118.0,87841696,Heavy Vehicle
Andhra Pradesh,2040,63.52,23160.72,120.0,22698642,Two-Wheeler
Andhra Pradesh,2040,42.65,44857.04,120.0,70428433,Four-Wheeler
Andhra Pradesh,2040,44.91,53762.67,120.0,89717465,Heavy Vehicle
Andhra Pradesh,2041,53.32,86413.1,123.0,2841460,Two-Wheeler
Andhra Pradesh,2041,81.32,21753.38,123.0,35814380,Four-Wheeler
Andhra Pradesh,2041,99.2,138328.72,123.0,78487123,Heavy Vehicle
Andhra Pradesh,2042,76.05,96801.26,126.0,69424790,Two-Wheeler
Andhra Pradesh,2042,37.81,92893.28,126.0,40456568,Four-Wheeler
Andhra Pradesh,2042,27.32,140051.26,126.0,87774921,Heavy Vehicle
Andhra Pradesh,2043,45.59,171882.12,129.0,62582979,Two-Wheeler
Andhra Pradesh,2043,10.23,137332.16,129.0,85904498,Four-Wheeler
Andhra Pradesh,2043,97.22,8868.78,129.0,35345846,Heavy Vehicle
Andhra Pradesh,2044,48.55,65751.31,132.0,18506559,Two-Wheeler
Andhra Pradesh,2044,86.01,114019.62,132.0,58939350,Four-Wheeler
Andhra Pradesh,2044,36.2,100861.61,132.0,80444354,Heavy Vehicle
Andhra Pradesh,2045,91.06,20257.05,135.0,55404712,Two-Wheeler
Andhra Pradesh,2045,3.21,175490.78,135.0,77778697,Four-Wheeler
Andhra Pradesh,2045,50.29,50170.29,135.0,66251504,Heavy Vehicle
Andhra Pradesh,2046,44.53,118754.67,138.0,22423181,Two-Wheeler
Andhra Pradesh,2046,89.49,25473.73,138.0,39559346,Four-Wheeler
Andhra Pradesh,2046,29.42,194380.79,138.0,78833072,Heavy Vehicle
Andhra Pradesh,2047,93.22,69533.91,141.0,14338876,Two-Wheeler
Andhra Pradesh,2047,44.0,35963.76,141.0,41587277,Four-Wheeler
Andhra Pradesh,2047,6.05,99413.95,141.0,47102172,Heavy Vehicle
Andhra Pradesh,2048,50.25,140659.25,144.0,91320485,Two-Wheeler
Andhra Pradesh,2048,17.25,186503.72,144.0,73717453,Four-Wheeler
Andhra Pradesh,2048,57.98,132623.65,144.0,52201784,Heavy Vehicle
Andhra Pradesh,2049,75.29,135621.91,147.0,16971717,Two-Wheeler
Andhra Pradesh,2049,46.49,140919.09,147.0,70308765,Four-Wheeler
Andhra Pradesh,2049,12.8,180612.59,147.0,78715976,Heavy Vehicle
Andhra Pradesh,2050,73.67,39764.55,150.0,26754726,Two-Wheeler
Andhra Pradesh,2050,32.19,96039.43,150.0,45108911,Four-Wheeler
Andhra Pradesh,2050,32.58,88510.77,150.0,55827275,Heavy Vehicle
Arunachal Pradesh,1950,29.2,127238.92,1.5,20728376,Two-Wheeler
Arunachal Pradesh,1950,86.69,109034.65,1.5,59035685,Four-Wheeler
Arunachal Pradesh,1950,0.57,31709.52,1.5,47796917,Heavy Vehicle
Arunachal Pradesh,1951,60.6,135249.54,1.55,594923,Two-Wheeler
Arunachal Pradesh,1951,5.5,146248.12,1.55,3969538,Four-Wheeler
Arunachal Pradesh,1951,5.35,129586.57,1.55,99882288,Heavy Vehicle
Arunachal Pradesh,1952,69.28,162806.17,1.6,97893035,Two-Wheeler
Arunachal Pradesh,1952,2.76,29436.48,1.6,50126607,Four-Wheeler
Arunachal Pradesh,1952,52.05,116365.72,1.6,15474469,Heavy Vehicle
Arunachal Pradesh,1953,17.64,164039.63,1.65,93779163,Two-Wheeler
Arunachal Pradesh,1953,31.53,117556.71,1.65,9982452,Four-Wheeler
Arunachal Pradesh,1953,98.74,166013.35,1.65,93703164,Heavy Vehicle
Arunachal Pradesh,1954,89.81,195056.85,1.7,74685220,Two-Wheeler
Arunachal Pradesh,1954,63.08,95781.64,1.7,93625192,Four-Wheeler
Arunachal Pradesh,1954,50.28,158062.51,1.7,1425028,Heavy Vehicle
Arunachal Pradesh,1955,44.78,115715.41,1.75,80478097,Two-Wheeler
Arunachal Pradesh,1955,60.46,34926.39,1.75,96886471,Four-Wheeler
Arunachal Pradesh,1955,29.63,86496.54,1.75,80468251,Heavy Vehicle
Arunachal Pradesh,1956,26.03,38138.74,1.8,99882777,Two-Wheeler
Arunachal Pradesh,1956,44.48,26030.35,1.8,90002788,Four-Wheeler
Arunachal Pradesh,1956,75.35,20228.53,1.8,21948417,Heavy Vehicle
Arunachal Pradesh,1957,64.82,4809.75,1.85,12236335,Two-Wheeler
Arunachal Pradesh,1957,17.19,46776.86,1.85,39434512,Four-Wheeler
Arunachal Pradesh,1957,25.53,105352.1,1.85,6973177,Heavy Vehicle
Arunachal Pradesh,1958,9.65,156135.4,1.9,91628113,Two-Wheeler
Arunachal Pradesh,1958,19.67,48024.77,1.9,49236787,Four-Wheeler
Arunachal Pradesh,1958,69.85,79728.67,1.9,98365625,Heavy Vehicle
Arunachal Pradesh,1959,27.31,188315.05,1.95,64880067,Two-Wheeler
Arunachal Pradesh,1959,98.8,164045.42,1.95,72766323,Four-Wheeler
Arunachal Pradesh,1959,42.86,50799.25,1.95,59220585,Heavy Vehicle
Arunachal Pradesh,1960,44.1,141320.52,2.0,66297688,Two-Wheeler
Arunachal Pradesh,1960,3.64,25528.51,2.0,63148723,Four-Wheeler
Arunachal Pradesh,1960,86.77,41408.17,2.0,5700552,Heavy Vehicle
Arunachal Pradesh,1961,27.85,91825.62,2.15,96668457,Two-Wheeler
Arunachal Pradesh,1961,52.7,174799.59,2.15,39719361,Four-Wheeler
Arunachal Pradesh,1961,59.56,198201.93,2.15,47163153,Heavy Vehicle
Arunachal Pradesh,1962,92.77,53374.29,2.3,87356792,Two-Wheeler
Arunachal Pradesh,1962,74.96,121866.17,2.3,7638282,Four-Wheeler
Arunachal Pradesh,1962,10.97,32619.19,2.3,73717342,Heavy Vehicle
Arunachal Pradesh,1963,12.85,145350.78,2.45,22459838,Two-Wheeler
Arunachal Pradesh,1963,93.69,50559.98,2.45,67042272,Four-Wheeler
Arunachal Pradesh,1963,58.42,95286.62,2.45,67503212,Heavy Vehicle
Arunachal Pradesh,1964,32.2,144853.5,2.6,16863101,Two-Wheeler
Arunachal Pradesh,1964,59.32,55297.9,2.6,15676137,Four-Wheeler
Arunachal Pradesh,1964,40.84,25154.39,2.6,30754981,Heavy Vehicle
Arunachal Pradesh,1965,79.21,67760.1,2.75,65964928,Two-Wheeler
Arunachal Pradesh,1965,81.91,93225.8,2.75,44371377,Four-Wheeler
Arunachal Pradesh,1965,88.16,113951.23,2.75,14978679,Heavy Vehicle
